model,repeat,r2,mse,mae
rf,0,0.6325517834809673,0.21894060394924758,0.34643285494560166
rf,1,0.6426480300210848,0.2129248493048123,0.3463800316777742
rf,2,0.6270003692838819,0.22224836249165256,0.3532300451356183
rf,3,0.6386905516503095,0.21528287600261983,0.3465991887858402
rf,4,0.6260970145430249,0.22278661801624677,0.3522140706905432
