epoch,train_loss,test_loss,r2,mse,mae,best_loss
1,5.85747671248652,1.218611040188156,-1.0451960956514696,1.2186110519115532,0.9451679127816935,1.218611040188156
2,0.7119039425514228,0.6181490466794894,-0.037440099797244386,0.6181490244369165,0.6488145325930064,0.6181490466794894
3,0.6888764019837513,0.6125774620143511,-0.02808932004240816,0.6125774493799024,0.6437356053417875,0.6125774620143511
4,0.6500413715081057,0.5868864550845314,0.015027871876287513,0.5868864720153203,0.6132301228647014,0.5868864550845314
5,0.6608712177745764,0.5776780397837399,0.0304824222473854,0.5776780220654171,0.6179934093970378,0.5776780397837399
6,0.592432264759947,0.5462649086959489,0.08320313026098625,0.546264879048678,0.6391709815454847,0.5462649086959489
7,0.5747152608365098,0.4706692832116862,0.21007530538026853,0.47066927474005205,0.5618537145716543,0.4706692832116862
8,0.50467043513459,0.43133350001036663,0.27609255164902136,0.43133351320064683,0.5323666288652493,0.43133350001036663
9,0.5063130602784032,0.4144928186904383,0.30435630741267117,0.41449281747697275,0.5413274000619204,0.4144928186904383
10,0.5038415012569929,0.4020564244448684,0.3252283438869278,0.4020564088716999,0.5337331094814621,0.4020564244448684
11,0.4509028789853524,0.46921003319834936,0.21252431536530736,0.4692100549418353,0.5724338757172795,0.4020564244448684
12,0.45591932398672325,0.437082176900092,0.26644458690125017,0.437082163168777,0.5689478284530057,0.4020564244448684
13,0.4297181162619813,0.37778225381865754,0.3659677082616436,0.3777822379105694,0.5024122245439137,0.37778225381865754
14,0.4533607945591843,0.39820785376861806,0.3316873747227327,0.3982078554846263,0.5339806753260489,0.37778225381865754
15,0.40440992787290775,0.36316384067972196,0.3905018001391788,0.3631638276886125,0.4925926113856658,0.36316384067972196
16,0.4082651235371752,0.36883688701018125,0.3809807106286843,0.36883688022787614,0.4780516551651117,0.36316384067972196
17,0.40118164081913216,0.3594774872292089,0.39668855791192315,0.35947750567118053,0.49441916705997846,0.3594774872292089
18,0.42716617438629384,0.3738563993504939,0.3725564521358211,0.3738563962172673,0.4728242495587764,0.3594774872292089
19,0.3931227733362924,0.36013467302759183,0.39558563327504437,0.3601346730473473,0.48930556173542983,0.3594774872292089
20,0.38289778064731017,0.3481278851742053,0.41573663255390025,0.3481278877417783,0.4704875582047091,0.3481278851742053
21,0.36364219995552044,0.46970680196776643,0.21169059692938186,0.46970681830959327,0.5906029511954038,0.3481278851742053
22,0.3865233794221239,0.3520488620714377,0.4091560515517425,0.3520488656637873,0.4672101108172468,0.3481278851742053
23,0.3566548692866642,0.3268946636724108,0.45137235096945527,0.32689467670820704,0.44730719719224304,0.3268946636724108
24,0.38330024334209467,0.33980816011210435,0.42969965302346613,0.33980815199689834,0.47027084117627327,0.3268946636724108
25,0.37613825276304447,0.322863042809581,0.4581386111921141,0.32286306355141825,0.4455823934715213,0.322863042809581
26,0.36471862242927583,0.31757691616320427,0.4670103195808153,0.31757693870754894,0.4391687080150342,0.31757691616320427
27,0.3538998967009747,0.30929507372033505,0.4809097653695531,0.30929508334433203,0.448154584142088,0.30929507372033505
28,0.36418887171530945,0.35026082965253874,0.4121569110712837,0.3502608314584012,0.49562560147001544,0.30929507372033505
29,0.3349527329888963,0.3179406603329054,0.46639987831117935,0.3179406644545827,0.4315579174129108,0.30929507372033505
30,0.3244456913230579,0.2960233397156228,0.5031837354960103,0.2960233456250195,0.42415655296267446,0.2960233397156228
31,0.33371033397541905,0.28450184787502725,0.5225202782099314,0.28450184668071493,0.42845948051860316,0.28450184787502725
32,0.31499593878722576,0.2956205815759324,0.5038597172435118,0.2956205681944605,0.45151235129087025,0.28450184787502725
33,0.3234534170589172,0.2755953455699309,0.5374680611952061,0.27559534935942565,0.414700664636743,0.2755953455699309
34,0.28808847496932194,0.24354394974599358,0.5912599499963429,0.24354395324360126,0.39259406082502757,0.24354394974599358
35,0.3166675955891306,0.2673267590180608,0.5513452356106655,0.26732676418662027,0.38847944026684944,0.24354394974599358
36,0.30496405180072866,0.27612103669698,0.5365858029942532,0.27612103469424837,0.4329954394857392,0.24354394974599358
